CH1	CH2	CH3	CH4	CH5
-0.0072784	-0.0007782	0.09906	0.0010071	-0.0009613
-0.0086975	-0.0099335	0.13559	-0.0035706	0.0078735
0.0048065	0.0061798	0.155	-0.0037079	0.013321
0.025635	-0.00041199	0.12337	0.00027466	-0.001236
0.033829	0.0040741	0.12186	0.003067	-0.0027008
0.033371	-0.0047607	0.12263	0.0016022	0.008194
0.031082	-0.0015106	0.10831	-0.0093842	0.0072784
0.018997	-0.0084686	0.084229	-0.0061798	-0.0044403
0.0036163	-0.020187	-0.019226	0.00032043	0.0046692
-0.013	-0.0086517	-0.12529	0.00013733	0.0057678
-0.010849	-0.014008	-0.20224	-0.0049896	0.0017853
-0.011719	-0.0062714	-0.23131	-0.0019684	-0.0026093
-0.010941	-0.013229	-0.12108	0.0028839	0.0049896
0.0027008	-0.0062714	0.0070953	0.001236	0.0036163
0.013138	-0.0013275	0.052826	0.003067	-0.005722
0.0066833	-0.0098419	0.0069122	0.00032043	-0.0048981
0.0029755	0.011993	-0.014328	0.0044861	0.006546
0.0035706	0.0032501	-0.061981	0.0059967	-0.0026093
